fragment1,fragment2,cloneType,lineSimilarity
"|project://assignment2/data/large/75612.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/14833.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/57055.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/10993.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/2481579.java|(38484,1184,<885,4>,<919,5>)","|project://assignment2/data/large/1098324.java|(36260,1184,<807,4>,<841,5>)",type2(),100
"|project://assignment2/data/large/97910.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/12148.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/2481579.java|(24843,2963,<524,4>,<575,5>)","|project://assignment2/data/large/1966020.java|(25016,2975,<525,4>,<576,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(31042,401,<883,4>,<894,5>)","|project://assignment2/data/large/1109590.java|(47893,356,<1357,4>,<1367,5>)",type3(),75
"|project://assignment2/data/large/111151.java|(805,1348,<27,4>,<46,5>)","|project://assignment2/data/large/74387.java|(805,1348,<27,4>,<46,5>)",type1(),100
"|project://assignment2/data/large/1560483.java|(32486,1184,<746,4>,<780,5>)","|project://assignment2/data/large/1802351.java|(38268,1184,<866,4>,<900,5>)",type2(),100
"|project://assignment2/data/large/1109590.java|(13952,373,<385,4>,<395,5>)","|project://assignment2/data/large/1109590.java|(12165,389,<329,4>,<340,5>)",type3(),75
"|project://assignment2/data/large/89548.java|(6893,2793,<199,4>,<265,5>)","|project://assignment2/data/large/13449.java|(6893,2793,<199,4>,<265,5>)",type1(),100
"|project://assignment2/data/large/2481579.java|(36094,1194,<816,4>,<847,5>)","|project://assignment2/data/large/126904.java|(36208,1170,<797,4>,<826,5>)",type3(),86
"|project://assignment2/data/large/1802351.java|(41752,2571,<976,8>,<1041,9>)","|project://assignment2/data/large/1966020.java|(42162,2779,<996,8>,<1069,9>)",type3(),82
"|project://assignment2/data/large/48890.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/23336.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/70893.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/12148.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/105863.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/10993.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/23336.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/12148.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/1966020.java|(33118,851,<724,4>,<749,5>)","|project://assignment2/data/large/1560483.java|(28180,851,<624,4>,<649,5>)",type1(),100
"|project://assignment2/data/large/1560483.java|(32486,1184,<746,4>,<780,5>)","|project://assignment2/data/large/1098324.java|(37450,1184,<843,4>,<877,5>)",type2(),100
"|project://assignment2/data/large/101851.java|(6893,2793,<199,4>,<265,5>)","|project://assignment2/data/large/19995.java|(6893,2793,<199,4>,<265,5>)",type1(),100
"|project://assignment2/data/large/45886.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/46050.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/925397.java|(28689,1667,<578,4>,<620,5>)","|project://assignment2/data/large/2430560.java|(27704,1615,<564,4>,<605,5>)",type3(),96
"|project://assignment2/data/large/57755.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/48890.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/2430560.java|(31619,1135,<672,4>,<706,5>)","|project://assignment2/data/large/1560483.java|(27039,1135,<588,4>,<622,5>)",type1(),100
"|project://assignment2/data/large/31722.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/14833.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/925397.java|(12741,789,<201,4>,<222,5>)","|project://assignment2/data/large/126904.java|(12460,769,<191,4>,<211,5>)",type1(),100
"|project://assignment2/data/large/925397.java|(25467,3216,<522,4>,<576,5>)","|project://assignment2/data/large/126904.java|(24956,2990,<509,4>,<560,5>)",type3(),76
"|project://assignment2/data/large/1802351.java|(40414,1328,<942,8>,<974,9>)","|project://assignment2/data/large/209298.java|(45496,1428,<1076,8>,<1109,9>)",type3(),71
"|project://assignment2/data/large/209298.java|(41003,2577,<943,8>,<1008,9>)","|project://assignment2/data/large/1802351.java|(41752,2571,<976,8>,<1041,9>)",type1(),100
"|project://assignment2/data/large/1802351.java|(29646,1979,<619,4>,<670,5>)","|project://assignment2/data/large/2430560.java|(29640,1973,<619,4>,<670,5>)",type3(),97
"|project://assignment2/data/large/1802351.java|(35910,1162,<799,4>,<828,5>)","|project://assignment2/data/large/925397.java|(37304,1192,<815,4>,<844,5>)",type3(),95
"|project://assignment2/data/large/45886.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/48890.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/2599719.java|(17517,2402,<310,4>,<374,5>)","|project://assignment2/data/large/1966020.java|(17755,2434,<322,4>,<388,5>)",type3(),93
"|project://assignment2/data/large/70893.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/48890.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/1560483.java|(33676,1184,<782,4>,<816,5>)","|project://assignment2/data/large/925397.java|(38502,1245,<846,4>,<880,5>)",type3(),88
"|project://assignment2/data/large/57755.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/46050.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/2430560.java|(49958,517,<1208,8>,<1221,9>)","|project://assignment2/data/large/2599719.java|(49903,517,<1204,8>,<1217,9>)",type1(),100
"|project://assignment2/data/large/57055.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/45886.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/925397.java|(34949,876,<751,4>,<776,5>)","|project://assignment2/data/large/2430560.java|(32760,851,<708,4>,<733,5>)",type3(),82
"|project://assignment2/data/large/111151.java|(2159,599,<48,4>,<62,5>)","|project://assignment2/data/large/6000.java|(2159,599,<48,4>,<62,5>)",type1(),100
"|project://assignment2/data/large/2481579.java|(37294,1184,<849,4>,<883,5>)","|project://assignment2/data/large/1098324.java|(36260,1184,<807,4>,<841,5>)",type1(),100
"|project://assignment2/data/large/1966020.java|(40824,1328,<962,8>,<994,9>)","|project://assignment2/data/large/209298.java|(45496,1428,<1076,8>,<1109,9>)",type3(),71
"|project://assignment2/data/large/2481579.java|(33781,868,<750,4>,<775,5>)","|project://assignment2/data/large/1098324.java|(32811,868,<712,4>,<737,5>)",type1(),100
"|project://assignment2/data/large/43963.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/103968.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/105863.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/31722.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/2599719.java|(38273,1184,<866,4>,<900,5>)","|project://assignment2/data/large/1560483.java|(32486,1184,<746,4>,<780,5>)",type2(),100
"|project://assignment2/data/large/61962.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/32798.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/111245.java|(6893,2793,<199,4>,<265,5>)","|project://assignment2/data/large/19995.java|(6893,2793,<199,4>,<265,5>)",type1(),100
"|project://assignment2/data/large/14833.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/46050.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/105863.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/41662.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/2430560.java|(49298,650,<1188,8>,<1206,9>)","|project://assignment2/data/large/1966020.java|(49994,632,<1219,8>,<1236,9>)",type1(),100
"|project://assignment2/data/large/1098324.java|(20651,3263,<402,4>,<486,5>)","|project://assignment2/data/large/2481579.java|(21555,3282,<438,4>,<522,5>)",type1(),100
"|project://assignment2/data/large/1360561.java|(1126,1456,<50,4>,<86,5>)","|project://assignment2/data/large/1360561.java|(5788,1303,<166,4>,<199,5>)",type3(),81
"|project://assignment2/data/large/209298.java|(45496,1428,<1076,8>,<1109,9>)","|project://assignment2/data/large/1966020.java|(40824,1328,<962,8>,<994,9>)",type3(),71
"|project://assignment2/data/large/1109590.java|(3323,391,<98,4>,<108,5>)","|project://assignment2/data/large/1109590.java|(13288,389,<364,4>,<374,5>)",type3(),72
"|project://assignment2/data/large/1109590.java|(31042,401,<883,4>,<894,5>)","|project://assignment2/data/large/1109590.java|(18415,382,<517,4>,<527,5>)",type3(),75
"|project://assignment2/data/large/95809.java|(2159,599,<48,4>,<62,5>)","|project://assignment2/data/large/74387.java|(2159,599,<48,4>,<62,5>)",type1(),100
"|project://assignment2/data/large/104755.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/10993.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(13288,389,<364,4>,<374,5>)","|project://assignment2/data/large/1109590.java|(17564,845,<492,4>,<515,5>)",type3(),72
"|project://assignment2/data/large/14833.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/48890.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/89548.java|(6420,467,<183,4>,<197,5>)","|project://assignment2/data/large/58954.java|(6420,467,<183,4>,<197,5>)",type1(),100
"|project://assignment2/data/large/2430560.java|(40402,1328,<942,8>,<974,9>)","|project://assignment2/data/large/2430560.java|(46204,1409,<1110,8>,<1143,9>)",type3(),71
"|project://assignment2/data/large/1560483.java|(23118,1615,<480,4>,<521,5>)","|project://assignment2/data/large/126904.java|(27952,1625,<562,4>,<603,5>)",type1(),100
"|project://assignment2/data/large/12148.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/104755.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/10993.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/45886.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/23336.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/48890.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(11772,387,<317,4>,<327,5>)","|project://assignment2/data/large/1109590.java|(12165,389,<329,4>,<340,5>)",type3(),75
"|project://assignment2/data/large/70893.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/46050.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/23336.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/46050.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/126904.java|(27952,1625,<562,4>,<603,5>)","|project://assignment2/data/large/1560483.java|(23118,1615,<480,4>,<521,5>)",type1(),100
"|project://assignment2/data/large/1966020.java|(34849,1433,<778,4>,<815,5>)","|project://assignment2/data/large/2481579.java|(34655,1433,<777,4>,<814,5>)",type1(),100
"|project://assignment2/data/large/19995.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/43963.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(14721,378,<409,4>,<419,5>)","|project://assignment2/data/large/1109590.java|(12165,389,<329,4>,<340,5>)",type3(),75
"|project://assignment2/data/large/1966020.java|(25016,2975,<525,4>,<576,5>)","|project://assignment2/data/large/1098324.java|(23920,2966,<488,4>,<539,5>)",type1(),100
"|project://assignment2/data/large/45886.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/12148.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/1966020.java|(27997,1671,<578,4>,<621,5>)","|project://assignment2/data/large/1802351.java|(27710,1615,<564,4>,<605,5>)",type3(),90
"|project://assignment2/data/large/41662.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/23336.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/70893.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/10640.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/130814.java|(6893,2793,<199,4>,<265,5>)","|project://assignment2/data/large/61962.java|(6893,2793,<199,4>,<265,5>)",type1(),100
"|project://assignment2/data/large/1560483.java|(41588,1409,<1024,8>,<1057,9>)","|project://assignment2/data/large/1966020.java|(46918,1409,<1142,8>,<1175,9>)",type1(),100
"|project://assignment2/data/large/2599719.java|(37083,1184,<830,4>,<864,5>)","|project://assignment2/data/large/1560483.java|(32486,1184,<746,4>,<780,5>)",type1(),100
"|project://assignment2/data/large/1802351.java|(35910,1162,<799,4>,<828,5>)","|project://assignment2/data/large/2481579.java|(36094,1194,<816,4>,<847,5>)",type3(),86
"|project://assignment2/data/large/57755.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/12148.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/925397.java|(34084,859,<724,4>,<749,5>)","|project://assignment2/data/large/209298.java|(32774,876,<701,4>,<726,5>)",type3(),82
"|project://assignment2/data/large/925397.java|(34949,876,<751,4>,<776,5>)","|project://assignment2/data/large/925397.java|(34084,859,<724,4>,<749,5>)",type3(),82
"|project://assignment2/data/large/31722.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/10640.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(12560,420,<342,4>,<353,5>)","|project://assignment2/data/large/1109590.java|(14331,384,<397,4>,<407,5>)",type3(),75
"|project://assignment2/data/large/2481579.java|(40630,1328,<961,8>,<993,9>)","|project://assignment2/data/large/2599719.java|(40419,1328,<942,8>,<974,9>)",type1(),100
"|project://assignment2/data/large/130398.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/32955.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/2599719.java|(47604,1647,<1143,8>,<1183,9>)","|project://assignment2/data/large/126904.java|(47999,1658,<1141,8>,<1181,9>)",type1(),100
"|project://assignment2/data/large/1109590.java|(23542,411,<658,4>,<669,5>)","|project://assignment2/data/large/1109590.java|(14331,384,<397,4>,<407,5>)",type3(),75
"|project://assignment2/data/large/100171.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/104755.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/209298.java|(37444,1191,<832,4>,<866,5>)","|project://assignment2/data/large/925397.java|(39753,1245,<882,4>,<916,5>)",type3(),96
"|project://assignment2/data/large/126904.java|(33911,876,<733,4>,<758,5>)","|project://assignment2/data/large/1966020.java|(33975,868,<751,4>,<776,5>)",type1(),100
"|project://assignment2/data/large/100171.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/10993.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/101851.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/130814.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(33944,407,<965,4>,<975,5>)","|project://assignment2/data/large/1109590.java|(12165,389,<329,4>,<340,5>)",type3(),75
"|project://assignment2/data/large/104755.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/105863.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/12148.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/45886.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(50852,390,<1435,4>,<1446,5>)","|project://assignment2/data/large/1109590.java|(20917,692,<582,4>,<603,5>)",type3(),75
"|project://assignment2/data/large/10993.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/104755.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/31722.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/46050.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/41662.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/12148.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/10640.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/31722.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/45886.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/23336.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/1560483.java|(41588,1409,<1024,8>,<1057,9>)","|project://assignment2/data/large/2599719.java|(46185,1409,<1108,8>,<1141,9>)",type1(),100
"|project://assignment2/data/large/1560483.java|(16840,3300,<340,4>,<425,5>)","|project://assignment2/data/large/2430560.java|(21426,3300,<424,4>,<509,5>)",type1(),100
"|project://assignment2/data/large/104755.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/57755.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/57755.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/23336.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/1802351.java|(32772,851,<708,4>,<733,5>)","|project://assignment2/data/large/1560483.java|(28180,851,<624,4>,<649,5>)",type1(),100
"|project://assignment2/data/large/1802351.java|(49898,517,<1204,8>,<1217,9>)","|project://assignment2/data/large/2481579.java|(50513,517,<1241,8>,<1254,9>)",type1(),100
"|project://assignment2/data/large/75612.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/10640.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/89548.java|(6420,467,<183,4>,<197,5>)","|project://assignment2/data/large/43963.java|(6420,467,<183,4>,<197,5>)",type1(),100
"|project://assignment2/data/large/32955.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/12148.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/209298.java|(45496,1428,<1076,8>,<1109,9>)","|project://assignment2/data/large/2481579.java|(46760,1409,<1143,8>,<1176,9>)",type1(),100
"|project://assignment2/data/large/75612.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/46050.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/925397.java|(34949,876,<751,4>,<776,5>)","|project://assignment2/data/large/2430560.java|(33617,868,<735,4>,<760,5>)",type1(),100
"|project://assignment2/data/large/111245.java|(6420,467,<183,4>,<197,5>)","|project://assignment2/data/large/103968.java|(6420,467,<183,4>,<197,5>)",type1(),100
"|project://assignment2/data/large/62894.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/103968.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/2430560.java|(34491,1401,<762,4>,<797,5>)","|project://assignment2/data/large/2481579.java|(34655,1433,<777,4>,<814,5>)",type3(),89
"|project://assignment2/data/large/2481579.java|(34655,1433,<777,4>,<814,5>)","|project://assignment2/data/large/2430560.java|(34491,1401,<762,4>,<797,5>)",type3(),89
"|project://assignment2/data/large/10640.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/41662.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/47340.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/2560904.java|(2841,365,<96,4>,<107,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(11363,403,<305,4>,<315,5>)","|project://assignment2/data/large/1109590.java|(12165,389,<329,4>,<340,5>)",type3(),75
"|project://assignment2/data/large/130398.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/57055.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/14833.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/23336.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/2599719.java|(17517,2402,<310,4>,<374,5>)","|project://assignment2/data/large/126904.java|(17653,2424,<308,4>,<372,5>)",type1(),100
"|project://assignment2/data/large/126904.java|(47999,1658,<1141,8>,<1181,9>)","|project://assignment2/data/large/1802351.java|(47599,1647,<1143,8>,<1183,9>)",type1(),100
"|project://assignment2/data/large/1966020.java|(46918,1409,<1142,8>,<1175,9>)","|project://assignment2/data/large/209298.java|(39645,1348,<909,8>,<941,9>)",type3(),71
"|project://assignment2/data/large/1802351.java|(47599,1647,<1143,8>,<1183,9>)","|project://assignment2/data/large/2481579.java|(48179,1665,<1178,8>,<1219,9>)",type1(),100
"|project://assignment2/data/large/1109590.java|(14331,384,<397,4>,<407,5>)","|project://assignment2/data/large/1109590.java|(12165,389,<329,4>,<340,5>)",type3(),75
"|project://assignment2/data/large/10640.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/10993.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/1966020.java|(17755,2434,<322,4>,<388,5>)","|project://assignment2/data/large/1098324.java|(16731,2402,<288,4>,<352,5>)",type3(),93
"|project://assignment2/data/large/70893.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/14833.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/101851.java|(6420,467,<183,4>,<197,5>)","|project://assignment2/data/large/103968.java|(6420,467,<183,4>,<197,5>)",type1(),100
"|project://assignment2/data/large/31722.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/48890.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/100171.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/45886.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/104755.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/70893.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/47340.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/32955.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/68056.java|(1385,5114,<53,4>,<166,5>)","|project://assignment2/data/large/128513.java|(1385,5114,<53,4>,<166,5>)",type1(),100
"|project://assignment2/data/large/31722.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/12148.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/48890.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/75612.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(32466,1472,<925,4>,<963,5>)","|project://assignment2/data/large/1109590.java|(34357,716,<977,4>,<994,5>)",type3(),78
"|project://assignment2/data/large/1070751.java|(5073,1395,<115,4>,<152,5>)","|project://assignment2/data/large/2128909.java|(1156,1344,<48,4>,<82,5>)",type3(),83
"|project://assignment2/data/large/75612.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/47340.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/2560904.java|(2841,365,<96,4>,<107,5>)","|project://assignment2/data/large/48890.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(8974,370,<240,4>,<250,5>)","|project://assignment2/data/large/1109590.java|(17564,845,<492,4>,<515,5>)",type3(),72
"|project://assignment2/data/large/41662.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/46050.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/75612.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/48890.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/10640.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/75612.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/2599719.java|(33634,868,<735,4>,<760,5>)","|project://assignment2/data/large/209298.java|(31909,859,<674,4>,<699,5>)",type3(),82
"|project://assignment2/data/large/10640.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/130398.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/1966020.java|(21707,3303,<438,4>,<523,5>)","|project://assignment2/data/large/1098324.java|(20651,3263,<402,4>,<486,5>)",type1(),100
"|project://assignment2/data/large/6000.java|(805,1348,<27,4>,<46,5>)","|project://assignment2/data/large/34597.java|(805,1348,<27,4>,<46,5>)",type1(),100
"|project://assignment2/data/large/41662.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/48890.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/48890.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/105863.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/925397.java|(32842,1236,<688,4>,<722,5>)","|project://assignment2/data/large/209298.java|(30761,1142,<638,4>,<672,5>)",type3(),92
"|project://assignment2/data/large/13449.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/103968.java|(2268,3822,<90,4>,<172,5>)",type1(),100
